Inicial,Comunidad,Inicial,Provincia
AN,ANDALUCÍA,AL,ALMERÍA
AN,ANDALUCÍA,CA,CÁDIZ
AN,ANDALUCÍA,CO,CÓRDOBA
AN,ANDALUCÍA,GR,GRANADA
AN,ANDALUCÍA,H,HUELVA
AN,ANDALUCÍA,J,JAÉN
AN,ANDALUCÍA,MA,MÁLAGA
AN,ANDALUCÍA,SE,SEVILLA
AR,ARAGÓN,HU,HUESCA
AR,ARAGÓN,TE,TERUEL
AR,ARAGÓN,Z,ZARAGOZA
AS,PRINCIPADO DE ASTURIAS,O,ASTURIAS
IB,ISLAS BALEARES,IB,BALEARES
CN,CANARIAS,TF,TENERIFE
CN,CANARIAS,GC,"PALMAS, LAS"
CB,CANTABRIA,S,CANTABRIA
CM,CASTILLA LA MANCHA,AB,ALBACETE
CM,CASTILLA LA MANCHA,CR,CIUDAD REAL
CM,CASTILLA LA MANCHA,CU,CUENCA
CM,CASTILLA LA MANCHA,GU,GUADALAJARA
CM,CASTILLA LA MANCHA,TO,TOLEDO
CL,CASTILLA Y LEÓN,AV,ÁVILA
CL,CASTILLA Y LEÓN,BU,BURGOS
CL,CASTILLA Y LEÓN,LE,LEÓN
CL,CASTILLA Y LEÓN,P,PALENCIA
CL,CASTILLA Y LEÓN,SA,SALAMANCA
CL,CASTILLA Y LEÓN,SG,SEGOVIA
CL,CASTILLA Y LEÓN,SO,SORIA
CL,CASTILLA Y LEÓN,VA,VALLADOLID
CL,CASTILLA Y LEÓN,ZA,ZAMORA
CT,CATALUÑA,B,BARCELONA
CT,CATALUÑA,GI,GERONA
CT,CATALUÑA,L,LÉRIDA
CT,CATALUÑA,T,TARRAGONA
VC,COMUNIDAD VALENCIANA,A,ALICANTE
VC,COMUNIDAD VALENCIANA,CS,CASTELLÓN
VC,COMUNIDAD VALENCIANA,V,VALENCIA
EX,EXTREMADURA,BA,BADAJOZ
EX,EXTREMADURA,CC,CÁCERES
GA,GALICIA,C,"CORUÑA, LA"
GA,GALICIA,LU,LUGO
GA,GALICIA,OU,ORENSE
GA,GALICIA,PO,PONTEVEDRA
RI,LA RIOJA,LO,"RIOJA, LA"
MD,COMUNIDAD DE MADRID,M,MADRID
NC,COMUNIDAD FORAL DE NAVARRA,NA,NAVARRA
PV,PAÍS VASCO,VI,ÁLAVA
PV,PAÍS VASCO,SS,GUIPÚZCOA
PV,PAÍS VASCO,BI,VIZCAYA
MC,REGIÓN DE MURCIA,MU,MURCIA
ML,MELILLA,,
CE,CEUTA,,
