,music_id,name,letters1,letters2,city,district,region,Correct Name
0,1,ES-1948-M-FP-020,M,FP,,Madrid,Comunidad de Madrid,
1,2,ES-1913-B-JSV-001,B,JSV,,Barcelona,Cataluña,
2,3,ES-1913-B-JSV-002,B,JSV,,Barcelona,Cataluña,
3,4,ES-1913-B-JSV-003,B,JSV,,Barcelona,Cataluña,
4,5,ES-1913-B-JSV-004,B,JSV,,Barcelona,Cataluña,
5,6,ES-1913-B-SJV-005,B,JSV,,Barcelona,Cataluña,
6,7,ES-1943-SA-ASF-076,SA,ASF,Mariñigo,Salamanca,Castilla y León,
7,8,ES-1943-SA-ASF-089,SA,ASF,Mogarraz,Salamanca,Castilla y León,
8,9,ES-1943-SA-ASF-090,SA,ASF,,Salamanca,Castilla y León,
9,10,ES-1943-SA-ASF-094,SA,ASF,Ledesma,Salamanca,Castilla y León,
10,11,ES-1943-SA-ASF-101,SA,ASF,,Salamanca,Castilla y León,
11,12,ES-1943-SA-ASF-103,SA,ASF,,Salamanca,Castilla y León,
12,13,ES-1943-SA-ASF-123,SA,ASF,,Salamanca,Castilla y León,
13,14,ES-1943-SA-ASF-128,SA,ASF,,Salamanca,Castilla y León,
14,15,ES-1943-SA-ASF-131,SA,ASF,,Salamanca,Castilla y León,
15,16,ES-1943-SA-ASF-137,SA,ASF,Mogarraz,Salamanca,Castilla y León,
16,17,ES-1943-SA-ASF-141,SA,ASF,Mogarraz,Salamanca,Castilla y León,
17,18,ES-1943-SA-ASF-144,SA,ASF,,Salamanca,Castilla y León,
18,19,ES-1943-SA-ASF-148,SA,ASF,,Salamanca,Castilla y León,
19,20,ES-1943-SA-ASF-151,SA,ASF,,Salamanca,Castilla y León,
20,21,ES-1943-SA-ASF-155,SA,ASF,,Salamanca,Castilla y León,
21,22,ES-1943-SA-ASF-158,SA,ASF,,Salamanca,Castilla y León,
22,23,ES-1943-SA-ASF-012,SA,ASF,San Cristóbal de la Cuesta,Salamanca,Castilla y León,
23,24,ES-1943-SA-ASF-161,SA,ASF,,Salamanca,Castilla y León,
24,25,ES-1943-SA-ASF-162,SA,ASF,,Salamanca,Castilla y León,
25,26,ES-1943-SA-ASF-169,SA,ASF,,Salamanca,Castilla y León,
26,27,ES-1943-SA-ASF-174,SA,ASF,,Salamanca,Castilla y León,
27,28,ES-1943-SA-ASF-179,SA,ASF,,Salamanca,Castilla y León,
28,29,ES-1943-SA-ASF-184,SA,ASF,,Salamanca,Castilla y León,
29,30,ES-1943-SA-ASF-189,SA,ASF,,Salamanca,Castilla y León,
30,31,ES-1943-SA-ASF-192,SA,ASF,,Salamanca,Castilla y León,
31,32,ES-1943-SA-ASF-197,SA,ASF,,Salamanca,Castilla y León,
32,33,ES-1943-SA-ASF-199,SA,ASF,,Salamanca,Castilla y León,
33,34,ES-1943-SA-ASF-203,SA,ASF,,Salamanca,Castilla y León,
34,35,ES-1943-SA-ASF-206,SA,ASF,,Salamanca,Castilla y León,
35,36,ES-1943-SA-ASF-209,SA,ASF,,Salamanca,Castilla y León,
36,37,ES-1943-SA-ASF-213,SA,ASF,,Salamanca,Castilla y León,
37,38,ES-1943-SA-ASF-215,SA,ASF,,Salamanca,Castilla y León,
38,39,ES-1943-SA-ASF-244,SA,ASF,,Salamanca,Castilla y León,
39,40,ES-1943-SA-ASF-248,SA,ASF,,Salamanca,Castilla y León,
40,41,ES-1943-SA-ASF-252,SA,ASF,,Salamanca,Castilla y León,
41,42,ES-1943-SA-ASF-256,SA,ASF,,Salamanca,Castilla y León,
42,43,ES-1943-SA-ASF-258,SA,ASF,,Salamanca,Castilla y León,
43,44,ES-1943-SA-ASF-006,SA,ASF,Torremenudas,Salamanca,Castilla y León,
44,45,ES-1948-C-FP-015,C,FP,Santiago ,La Coruña,Galicia,
45,46,ES-1948-C-FP-016,C,FP,Santiago ,La Coruña,Galicia,
46,47,ES-1948-AN-FP-018,AN,FP,,,Andalucía,
